scope,language_group,target,pairs,resolved_rate_v2,resolved_rate_v3,delta
language_group+target,greek_script,Medial OA,321,0.13395638629283488,0.1838006230529595,0.049844236760124616
language_group+target,greek_script,PF OA,321,0.04361370716510903,0.19314641744548286,0.14953271028037382
language_group+target,greek_script,Synovitis,321,0.09034267912772585,0.09034267912772585,0.0
language_group+target,latin_other,ACL,22,0.8181818181818182,0.8636363636363636,0.045454545454545414
language_group+target,latin_other,Baker's,22,0.45454545454545453,0.45454545454545453,0.0
language_group+target,latin_other,Contusion,22,0.0,0.0,0.0
language_group+target,latin_other,Effusion,22,0.7727272727272727,0.7727272727272727,0.0
language_group+target,latin_other,Fracture,22,0.18181818181818182,0.18181818181818182,0.0
language_group+target,latin_other,Lateral Meniscus,22,0.8181818181818182,0.8636363636363636,0.045454545454545414
language_group+target,latin_other,Lateral OA,22,0.2727272727272727,0.2727272727272727,0.0
language_group+target,latin_other,MCL,22,0.7727272727272727,0.8181818181818182,0.045454545454545525
language_group+target,latin_other,Medial Meniscus,22,0.6363636363636364,0.7272727272727273,0.09090909090909094
language_group+target,latin_other,Medial OA,22,0.2727272727272727,0.2727272727272727,0.0
language_group+target,latin_other,PF OA,22,0.3181818181818182,0.3181818181818182,0.0
language_group+target,latin_other,Synovitis,22,0.18181818181818182,0.18181818181818182,0.0
language_group+target,south_slavic,ACL,403,0.6178660049627791,0.8039702233250621,0.18610421836228297
language_group+target,south_slavic,Baker's,403,0.543424317617866,0.8709677419354839,0.32754342431761785
language_group+target,south_slavic,Contusion,403,0.004962779156327543,0.02729528535980149,0.022332506203473948
language_group+target,south_slavic,Effusion,403,0.8709677419354839,0.8709677419354839,0.0
language_group+target,south_slavic,Fracture,403,0.04466501240694789,0.04714640198511166,0.0024813895781637743
language_group+target,south_slavic,Lateral Meniscus,403,0.8039702233250621,0.9007444168734491,0.09677419354838701
language_group+target,south_slavic,Lateral OA,403,0.03970223325062035,0.08188585607940446,0.042183622828784115
language_group+target,south_slavic,MCL,403,0.7990074441687345,0.8287841191066998,0.02977667493796532
language_group+target,south_slavic,Medial Meniscus,403,0.607940446650124,0.7568238213399504,0.14888337468982638
language_group+target,south_slavic,Medial OA,403,0.04962779156327544,0.14392059553349876,0.09429280397022333
language_group+target,south_slavic,PF OA,403,0.22332506203473945,0.2555831265508685,0.03225806451612906
language_group+target,south_slavic,Synovitis,403,0.009925558312655087,0.009925558312655087,0.0
language_group+target,spanish,ACL,678,0.5014749262536873,0.5103244837758112,0.008849557522123908
language_group+target,spanish,Baker's,678,0.5,0.5,0.0
language_group+target,spanish,Contusion,678,0.05457227138643068,0.05457227138643068,0.0
